codigo,x,y,z,rx,ry,rz,izq0der1,posMIR,pasillo,codeID,issueID
1010200000,0.4737,0.2476,0.0322,3.321,0.044,-0.017,0,-1,1,1
CN6,0.34930,-0.37096,0.03217,0.180,-3.122,-0.282,1,-1,1,2
2428510000,0.22181,-0.978.56,0.08892,0.040,-3.153,-0.093,1,-1.3,1,3
IZQ_1_1,0.4737,0.2476,0.0322,3.321,0.044,-0.017,0,-1, 1,4,SE-6
IZQ_1_2,0.4737,0.23,0.343,3.321,0.044,-0.017,0,-3.45, 1,5,SE-7
IZQ_1_3,0.4737,0.2476,0.0322,3.321,0.044,-0.017,0,-1.6, 1,6,SE-8
IZQ_2_1,0.173,0.23,0.843,3.321,0.044,-0.017,0,-3.05, 1,7
IZQ_2_2,0.4737,0.2476,0.4822,3.321,0.044,-0.017,0,-1.3, 1,8
IZQ_2_3,0.4737,0.2476,0.4822,3.321,0.044,-0.017,0,-1.6, 1,9
DER_1_1,0.4887,-0.1652,-0.170,0.037,-3.136,0.371,1,-3.0, 1,10,SE-2
DER_1_2,0.4887,-0.2255,-0.0131,0.037,-3.136,0.371,1,-1.3, 1,11,SE-4
DER_1_3,0.4887,-0.2255,-0.0131,0.037,-3.136,0.371,1,-1.6, 2,12,SE-5
DER_2_1,0.4887,-0.1652,0.285,0.037,-3.136,0.371,1,-3.3, 1,13
DER_2_2,0.4887,-0.2255,0.419,0.037,-3.136,0.371,1,-1.3, 1,14
DER_2_3,0.4887,-0.2255,0.419,0.037,-3.136,0.371,1,-1.6, 1,15
